Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,0.1uF,
C10,CP_Elec_5x5.4,1,47uF,
"C2, C4",0603,2,1.0uF,
"C5, C9",0603,2,10uF,
"C6, C7",1206,2,22uF,
C8,0402,1,100nF,
"D10, D11, D12, D13, D14, D15, D16, D17",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,8,SK6812,
"D18, D9",0603,2,LED,
"IR1, IR2, IR3, IR4, IR5, IR6, IR7, IR8",OPTO-SMD_L1.7-W0.8,8,MPT60363T,C50493
"J1, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
L1,0603,1,2.2uH,
"Q1, Q10",SOT-223,2,NMOS,
"R1, R2, R3, R4, R5, R6",0603,6,47,
"R10, R11, R12, R13, R14, R15, R8, R9",0805,8,4.7k,
R16,1206,1,10k,
"R17, R22",0402,2,330,
"R18, R20",0603,2,100k,
R19,0805,1,523k,
R21,1206,1,470,
R7,0805,1,47k,
"SW1, SW3",KEY-SMD_KMR2XXGXXX,2,KMR221GLFS,C72443
U1,VREG_TPS63070RNMT,1,TPS63070RNMT,
"U2, U3, U4, U5, U6, U7, U8, U9",LED-SMD_L3.5-W2.8-FD-1,8,NTD3528I7,C7464751
