Designator,Mid X,Mid Y,Rotation,Layer
C1,110.24,-56.99,0.0,top
C10,111.73,-91.58,180.0,bottom
C2,110.215,-58.69,0.0,top
C3,110.24,-63.27,0.0,top
C4,110.215,-61.2,0.0,top
C5,110.18,-65.61,0.0,top
C6,114.25,-57.15,0.0,top
C7,114.25,-60.5,0.0,top
C8,109.7875,-83.0,0.0,bottom
C9,109.665,-84.505,0.0,bottom
D10,101.91,-50.36,0.0,bottom
D11,101.91,-58.3986,0.0,bottom
D12,101.91,-66.4371,0.0,bottom
D13,101.91,-74.4757,0.0,bottom
D14,101.91,-82.5143,0.0,bottom
D15,101.91,-90.5529,0.0,bottom
D16,101.91,-98.5914,0.0,bottom
D17,101.91,-106.63,0.0,bottom
D18,111.2,-106.84,0.0,top
D9,107.5,-106.79,0.0,top
IR1,104.55,-50.26,90.0,top
IR2,104.45,-57.76,90.0,top
IR3,104.5,-65.25,90.0,top
IR4,104.55,-72.71,90.0,top
IR5,104.55,-80.18,90.0,top
IR6,104.46,-87.68,90.0,top
IR7,104.56,-95.11,90.0,top
IR8,104.52,-102.59,90.0,top
J1,118.47,-50.93,0.0,bottom
J2,117.47,-76.7,0.0,bottom
J4,117.47,-92.09,0.0,bottom
L1,109.665,-87.015,0.0,top
Q1,112.31,-100.14,180.0,top
Q10,111.94,-50.47,180.0,top
R1,106.87,-74.595,90.0,top
R10,101.6825,-68.47,0.0,top
R11,101.8125,-75.81,0.0,top
R12,101.8475,-83.58,0.0,top
R13,102.5875,-99.04,0.0,top
R14,101.9925,-90.65,0.0,top
R15,101.9125,-106.63,0.0,top
R16,110.4475,-68.82,0.0,bottom
R17,113.51,-64.07,0.0,top
R18,114.4,-67.885,90.0,bottom
R19,110.5575,-80.54,0.0,bottom
R2,106.69,-77.775,90.0,top
R20,109.61,-90.405,0.0,top
R21,110.4475,-72.13,0.0,bottom
R22,118.4,-62.29,0.0,top
R3,106.26,-69.67,0.0,top
R4,106.6,-82.835,90.0,top
R5,118.66,-98.56,0.0,top
R6,118.66,-101.07,0.0,top
R7,118.1725,-105.8,0.0,top
R8,101.9575,-53.37,0.0,top
R9,102.0725,-61.12,0.0,top
SW1,112.29,-107.1925,0.0,bottom
SW3,112.29,-51.5,0.0,bottom
U1,111.0525,-76.54,0.0,bottom
U2,101.55,-50.16,0.0,top
U3,101.55,-57.66,0.0,top
U4,101.55,-65.16,0.0,top
U5,101.55,-72.66,0.0,top
U6,101.55,-80.16,0.0,top
U7,101.55,-87.66,0.0,top
U8,101.55,-95.16,0.0,top
U9,101.55,-102.66,0.0,top
